year,month,female,male,american_indian_or_alaska_native,asian,black_or_african_american,native_hawaiian_or_other_pacific_islander,white,hispanic_or_latino,not_hispanic_or_latino,accommodation_and_food_services,administrative_and_waste_services,"agriculture,_forestry,_fishing_and_hunting","arts,_entertainment,_and_recreation",construction,educational_services,finance_and_insurance,health_care_and_social_assistance,information,management_of_companies_and_enterprises,manufacturing,mining,other_services_(except_public_administration),"professional,_scientific,_and_technical_services",real_estate_and_rental_and_leasing,retail_trade,total_claims,transportation_and_warehousing,wholesale_trade,community_transmission_level,masks,cases,monthly_change_cases,monthly_rate_of_change_cases
2020,1,0.0038083686424868497,0.007952138844968747,0.008668317774814251,0.0030282305068414783,0.007929268625521615,0.008938547486033519,0.005179125245663022,0.006776119491082733,0.005224674553058615,0.0052468685147197165,0.01055029504597228,0.008066323101053104,0.0051859908636067,0.030561924402146765,0.004574057254128087,0.002468354986340598,0.0020607533054056784,0.005779477842550988,0.0024067250775022778,0.004862518428038964,0.021666666666666667,0.0052809209926211135,0.0047792063130681186,0.004375266194292795,0.004123421031458685,0.0059243152127548115,0.007499414108272791,0.003949075839400308,low,0.0,0,,
2020,2,0.003081156105125627,0.005883437803820136,0.0060963993141550776,0.002296981662859871,0.006069050714280584,0.0064556176288019865,0.003968366756090462,0.004403297160581637,0.004039551715322797,0.003973449696366208,0.007146974063400576,0.002987527074464112,0.00334130954970633,0.022031227984783082,0.0034762835131373457,0.0025122758935708575,0.0019717999253162245,0.004342960228506523,0.0018451558927517462,0.0033897364041617782,,0.003341382737149359,0.004011522779315445,0.0037557594765168234,0.0033121463244562446,0.004511644982090071,0.005525884079779952,0.003405191142955954,low,0.0,0,0.0,
2020,3,0.12940719967546785,0.09539444046353215,0.13459706610783007,0.09667109717436843,0.12227880285281295,0.18026070763500932,0.09899008717419633,0.12416589687666932,0.1010408707274835,0.3803405198516898,0.08789350898860986,0.04033161550526552,0.28519469219055904,0.10037017586555827,0.1369864803936303,0.010593722823938652,0.08879029889262308,0.09080127616215945,0.04964730017018985,0.0530435303520212,0.045,0.29480981483170665,0.0512616916508771,0.07666395632477639,0.12495641912730979,0.11204660018526769,0.1561308943791398,0.0541992923587156,low,0.0,2902,2902.0,2902.0
2020,4,0.1366833952685056,0.11674889970150205,0.12754810440083825,0.1362359610975615,0.19936652038698277,0.18224705152079454,0.10408373735171268,0.13166212662725735,0.11526445604427601,0.16977640967702556,0.1302703444490188,0.045709164239300916,0.19581466173591472,0.0996656889241844,0.20355861654371166,0.019623861350480054,0.13016844619756732,0.32645697963819803,0.06786964718556424,0.09453273506433925,0.065,0.1741359693130482,0.06806793999273711,0.11565416037480157,0.16889934829833453,0.12651136038914515,0.2354914706499081,0.07818933690405461,low,0.0,38228,35326.0,32424.0
2020,5,0.054029449394283516,0.04861707660666675,0.04924747570965898,0.064539162677059,0.11528323433718066,0.0829298572315332,0.03704306885369427,0.05509433739526675,0.04646821606464268,0.056920863722643635,0.05530945519418142,0.01434012995742774,0.05648901457472265,0.0407065363579306,0.1118683717009612,0.011630256234572782,0.056207417044023586,0.08956520286635375,0.034404708012675415,0.057958648138055784,0.056666666666666664,0.0448974301118115,0.024483083679386758,0.03469237619545437,0.0493670716335452,0.05126724389997272,0.09971260468960073,0.03645209824212919,high,0.0,270572,232344.0,197018.0
2020,6,0.041543372936568346,0.036714889735957636,0.0385787769098876,0.043117873012186045,0.07058054599909502,0.06554934823091248,0.0307228929410249,0.040042852462983676,0.035314408549633795,0.04814097608031156,0.03689858652394675,0.018821420569123906,0.04475962584294105,0.036223437640096834,0.1307657625280161,0.011147126255039923,0.037712526767091324,0.045434045467452853,0.023012875979164637,0.04236001630580098,0.035,0.03865634166598655,0.022074664749966603,0.026058001316451775,0.03319521549065358,0.039079891416334736,0.07746105361834396,0.028707653107975892,moderate,0.0,579943,309371.0,77027.0
2020,7,0.030163039422788616,0.02717804782927882,0.035054296056391696,0.03382671122983151,0.04670655242007886,0.03873370577281192,0.022673299144689168,0.030905715727621245,0.025723640121686216,0.04801650657175069,0.025459036640592837,0.011651355590410037,0.03132477702849685,0.03487850802474671,0.057502434051895944,0.006386099911279767,0.025281291899590167,0.03544523694188785,0.01219407372601154,0.039735892779130914,0.02,0.03583344935356726,0.01510530247295703,0.01657180470050722,0.024425402955453642,0.02863994625610011,0.03722571016244619,0.01678948410763005,substantial,1.0,876315,296372.0,-12999.0
2020,8,0.018177599954413544,0.016315415758492813,0.021242141360259096,0.01939960168445322,0.03138668830935639,0.025822470515207946,0.013319173240328714,0.019513807523971704,0.015471342318755466,0.032180155251775484,0.018213256484149856,0.008663828515945925,0.01889928214052643,0.024195924222822816,0.028881904376065918,0.003812334747586546,0.013865608121443601,0.019309469323667464,0.0072889388061497555,0.019753981113908293,0.018333333333333333,0.021949427980239754,0.009242307641649843,0.010066984163859528,0.016131627645023735,0.01722766954076761,0.025014493111146743,0.009837218857428312,substantial,1.0,1310063,433748.0,137376.0
2020,9,0.017799069547839323,0.016170997006563572,0.02295675366736521,0.020690040820891348,0.032780056165652764,0.03128491620111732,0.012572303712833646,0.02057626528389757,0.015094833578738446,0.034372733517963105,0.01609441471112941,0.006273806856374636,0.019908636067000218,0.02984462860729336,0.028803491965995152,0.004497500900378598,0.012279272843181676,0.01844087727796616,0.0068419755774707615,0.01607787042732595,,0.023562509301622202,0.008226255905800714,0.01041545669260851,0.016359589132941776,0.016968646790434156,0.027999457279242166,0.01028651491101278,substantial,1.0,1650541,340478.0,-93270.0
2020,10,0.014472343537373433,0.015744246099961848,0.02009906648885502,0.014762623720852207,0.024965704476732912,0.03128491620111732,0.012033727798006646,0.01819163786717507,0.013450158951785593,0.028177981822664462,0.016983669548511045,0.01224886100530286,0.017959538829671527,0.03484008146430813,0.019995164568045638,0.003979234195061533,0.010170336456894212,0.01657006364107104,0.005397940530969395,0.01593760547267098,0.02,0.01910733231875639,0.008120887577638583,0.009757230804971541,0.013060852307774828,0.01512161533228717,0.02375636771798256,0.008962273910974351,high,1.0,2210987,560446.0,219968.0
