stfips,areatype,area,areaname,periodyear,periodtype,period,periodname,dim_title,Current,
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","02","February","Information","117",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","03","01","January","Information","149",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2017","01","00","Year","Information","1514",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","12","December","Information","193",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","11","November","Information","189",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","10","October","Information","127",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","09","September","Information","153",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","08","August","Information","199",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","07","July","Information","169",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","06","June","Information","176",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","05","May","Information","142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","04","April","Information","110",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","03","March","Information","139",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","02","February","Information","129",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","03","01","January","Information","171",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2016","01","00","Year","Information","1897",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","12","December","Information","148",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","11","November","Information","152",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","10","October","Information","142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","09","September","Information","140",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","08","August","Information","225",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","07","July","Information","158",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","06","June","Information","190",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","05","May","Information","145",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","04","April","Information","128",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","03","March","Information","135",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","02","February","Information","141",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","03","01","January","Information","159",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2015","01","00","Year","Information","1863",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","12","December","Information","155",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","11","November","Information","146",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","10","October","Information","133",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","09","September","Information","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","08","August","Information","173",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","07","July","Information","260",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","06","June","Information","201",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","05","May","Information","175",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","04","April","Information","161",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","03","March","Information","167",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","02","February","Information","192",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","03","01","January","Information","153",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2014","01","00","Year","Information","2091",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","12","December","Information","181",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","11","November","Information","156",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","10","October","Information","234",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","09","September","Information","178",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","08","August","Information","196",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","07","July","Information","247",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","06","June","Information","142",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","05","May","Information","166",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","04","April","Information","198",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","03","March","Information","206",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","02","February","Information","202",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","03","01","January","Information","217",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2013","01","00","Year","Information","2323",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","12","December","Information","204",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","11","November","Information","218",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","10","October","Information","226",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","09","September","Information","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","08","August","Information","220",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","07","July","Information","262",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","06","June","Information","229",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","05","May","Information","202",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","04","April","Information","214",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","03","March","Information","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","02","February","Information","188",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","03","01","January","Information","192",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2012","01","00","Year","Information","2609",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","12","December","Information","201",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","11","November","Information","233",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","10","October","Information","243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","09","September","Information","181",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","08","August","Information","271",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","07","July","Information","316",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","06","June","Information","227",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","05","May","Information","275",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","04","April","Information","213",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","03","March","Information","270",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","02","February","Information","243",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","03","01","January","Information","279",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2011","01","00","Year","Information","2673",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2010","03","12","December","Information","279",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2010","03","11","November","Information","269",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2010","03","10","October","Information","236",
"27","08","R11000","EDR 11 - 7 County Twin Cities   ","2010","03","09","September","Information","234",
